img_paths,labels,pred_labels
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_30a_5.jpg,十月以後明道元年,十月以後明道元年
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_52a_8.jpg,起作以為民事便宜從之,起作以為民事便宜從之
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_45b_5.jpg,悅親故帝言此以警之也,脱親故帝言此以警之也
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_61a_9.jpg,春二月一十九日帝在菩,春二月一十九日帝在菩
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_III_9b_12.jpg,十里孟琯云以四方揆之,十年上希云以門才弘
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_11b_3.jpg,以黎文盛爲太師時天下,以黎文盛為太師時天下
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_71b_7.jpg,年月二十八日少傅瓊郡,年月二十八日少傅瓊郡
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_III_8b_7.jpg,上言於漢帝曰率土之濱,刺史李運上言於漢帝曰
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_29b_2.jpg,之皇帝也至是降,之皇帝也至是降
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_24a_12.jpg,三月元年以後治平,三月以後治手龍應
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_56b_0.jpg,曰悔不用勝福之言故也,日悔不月勝福之言故也
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_23b_3.jpg,年正月明帝崩太子暨即,奔正月明帝崩太子𠰃
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_38a_10.jpg,之道若之何而不生亂哉,之道若之何而不生亂哉
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_63b_3.jpg,年月十六日頒大赦布誥,正月十六日欲大赦斥誥
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_19b_8.jpg,亦為之一日武威,亦為之一日武威
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_32b_9.jpg,十二月陳太宗建中元,十二月陳太宗建中元
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_16a_1.jpg,二十三日太保䧺郡公卒,二十二日太保權郡公卒
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IX_1a_8.jpg,十月以前漢蒼開大,十月以朔漢外開大
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_26a_3.jpg,四月以後改明崇禎二,四月以後改德隆元年
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_9b_3.jpg,才也如英宗之於興保云,才也如英宗之於興保云
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_26a_5.jpg,冬十月四日上皇御北宫,冬十月四日上皇御北宫
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_36b_13.jpg,十月以後改德元元,十月以後汝德元元
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_47a_8.jpg,得半年又廢之而,得半年又廢之而
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_24a_0.jpg,盗刧大者罪之小者没官,道刼大者歸之十者溪督
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_36a_1.jpg,十一月皇次子元晫生,十一月皇次子元晫生
DVSKTT-1 Quyen thu/DVSKTT_thu_V_2b_3.jpg,兵以予之,共以子之
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_37a_4.jpg,三月以後崇興大寶,三月順元年以後大寶
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VIII_33a_18.jpg,年今黜而正之,年今點而正之
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_15a_6.jpg,等十七人同進士出身,等十七人同進士出身
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_II_6b_21.jpg,冬十一月有星孛于西方,冬十一月有星孛于歸
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_IV_4a_19.jpg,九真日南皆應之是歲,九真日南皆應之是歲
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_58b_0.jpg,置以草黨比雷同之弊,𨃴以昔黨比雷同之擊
