img_paths,labels,pred_labels
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_7b_2.jpg,使通好執事迷而不反我是以有徃年之師帝遣,使通好執事迷而不反義是以有徃年之師帝遣
Tale of Kieu 1866/page065b_5.jpg,池有大蛇入見二十日上以砲旗皷制之賜月,池有大蛇入見二十日上以砲旗皷制之四月
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_4b_8.jpg,非傾人宗祧若是其幾無所不至以致大明之疑,非傾人宗桃若是其幾無所不至以致大明之疑
Tale of Kieu 1872/page75a_9.jpg,十一月戊辰朔日有食以裴時亨密奏故不之,十一月戊辰朔日有食以裴時亨辱奏故不之
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_47a_2.jpg,使人追之不及十三日卯時克終自元軍回賊,使人追之不及十三日卯時克終自元軍回賊
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_6b_14.jpg,冬十一月皇太子即皇帝位大赦以明年爲景,冬十一月皇太子即皇帝位大赦以明年爲景
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_39a_6.jpg,於民何以居人上宜早除之帝自知其然而心,於民何以君人上宜旱除之帝自知其於而悶
Tale of Kieu 1872/page28a_12.jpg,使養之其人曰每月用藥所費百金三年方效王,傑養之其人曰每月用藥所費百金三年方效
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_57a_5.jpg,一士王之時雖有守任然王以諸侯當國國人皆,一言王之時雖有守任然王以諸侯當國人皆
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIV_29b_3.jpg,安生王子國峻奪之公主㱕于國峻是月十五日,安生王子國峻奪之公主㱕于國峻是月十五日
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_III_12a_4.jpg,項郎尤鍾愛之立爲太子璉以是不平使人陰殺,頭郎尤鍾愛之立為太子璉以是不平使人隂欲
Tale of Kieu 1866/page01a_6.jpg,其才品有高下之不同然亦莫不各得其人以,其才品有髙下之不同然亦莫不各得其人以
DVSKTT-1 Quyen thu/DVSKTT_thu_VI_8b_4.jpg,是龍鋌求爲太子帝欲許之廷臣議以爲不立長,是龍鋌求爲太子帝欲許之廷臣議以爲不立
Tale of Kieu 1871/page006_19.jpg,取陶儼等三十六人廷試上親問以君師之道,取陶儼等三十六人廷試上親間以君師之道
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_76b_1.jpg,日還國雖曰人謀之不滅是亦天運之有数也夫,日還國雖曰人謀之不减是亦天運之有救天
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_6b_4.jpg,之以本月十九日遷塟于御天之羙舍鄕二十,之以本月十九日還塟于御天之羙舍鄕二十
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_IV_33b_5.jpg,博覽副之卒定三年一貢為常例二月二十四,博覽副之卒定三年一貢為常例二月二十四
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_19a_12.jpg,京恐為不便帝從之故有是命令明人著京,京恐為不便帝從之故有是命令陳人著京
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_51b_3.jpg,鄕人也以太祖起義六年癸卯冬十一月二,鄕人也以太祖起義六年癸卯冬十一月二
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VI_44b_7.jpg,献六眸龟胷中有籒文二行群臣辨之成王以公,献六眸龜胷中有籒文二行群臣辨之成王以公
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_47a_11.jpg,為阮朝且絶民之望李氏也秋七月二十二日,為阮朝且紹民之望李氏也秋七月二十二日
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_69b_5.jpg,柰等二十員人入鳯󰀩堂帝自命題試之九日,寺二十員人入入鳳󰀩堂帝自命題試之九日
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_14a_0.jpg,府每以日燏子孫爲之如國康之於演州是也,府每以日燏子孫為之始國康之於演州是也
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_3a_2.jpg,納之乃拜二人為鎮殿副將軍令五府軍以陣圖,納乃拜二人為鎮疑鳳将軍令五府軍以陣圖
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VIII_40a_1.jpg,進上皇嘉之賜田四十𤱈以為後日脩行之資延,進上皇嘉之賜田四十𤱈以為後日脩行之資運
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_50b_10.jpg,二十七日旨社置社官大社一百人以上用三,二十七日旨揮置社官大社一百人以上用二
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_40b_2.jpg,精氣因結為此故也世人以不常見而異之殊,特氣因結為此故也世人以不常見而異之毋
Tale of Kieu 1872/page51b_17.jpg,元豊年間木印帖子者閲定官以為僞上皇聞之,右司年間木印帖子者閲定官以為偽上皇聞之
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_44b_6.jpg,天子之兆至是帝以甲戌年生為天子果,天子之兆至是帝以甲戌年生為天子果
Luc Van Tien/nlvnpf-0059-091_3.jpg,夏四月旱二十三日祈于昊天上帝以自冬迄,夏四月旱二十三日祈于莫天上帝以自冬迄
Tale of Kieu 1866/page042a_4.jpg,之曰何日擒獲䦕内人其事始和帝知意不解,之曰何日擒獲䦕内人其事始和帝知意不解
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_46b_5.jpg,甚長非我國之灾復命終宴是年冬十月宋帝崩,甚長非我國之灾復命終宴是年冬十月宋帝崩
Tale of Kieu 1871/page075_1.jpg,日月以之復明生民以之莫安國家以之順治由,日月以之復明生民以之奠安國家以之順治由
DVSKTT-1 Quyen thu/DVSKTT_thu_VI_5a_4.jpg,統再三勸進朕不得以迺於今年十月初七日,統再三勸進朕不得已遇於今年十月初七日
Tale of Kieu 1872/page20b_9.jpg,之師其可以乎盖正其罪名也苟云遠人不服,之師其可已乎盖正其罪各也苟云遠人不服
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_II_7b_18.jpg,不許獨見而以國瑱為偕欲使君臣之義篤而無,不詳獨見而以國瑱為循欲使君臣之義属而撰
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_I_16b_6.jpg,非天命之不佑盖人謀之弗臧也黎大行擁十,非天命之不佑盖人謀之弗潮也黎大行擁十
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_43b_5.jpg,塊󰀋纔七日明人大舉兵圍之帝謂将士曰賊,魂斗羅七日明人大舉兵圖之帝謂将士曰期
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_10b_13.jpg,其爭國之餘收得三百餘人秋七月大水冬,其爭國之餘收得三百餘人秋七月大水冬
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_II_10b_5.jpg,及出府庭記室以其事呈日燏不之許以親王之,及出府庭記室以其事呈日燏不之許以身之
Tale of Kieu 1871/page090_14.jpg,帝两帝並立亡一乘之使以通其道之爭也乎而,帝两帝並立亡一承之使以通其道是争也争而
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_55b_14.jpg,華門外以示多士三月初二日黄清卒年五十,華門外以下多士三月初二日黄清卒年五十
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_10a_0.jpg,而行之以達下情帝從之置匭于庭令有言事,而行之以達下情帝從之置醯于庭令有言事
Tale of Kieu 1866/page059b_21.jpg,我死地下不瞑目國峻寘之于懷而不以為然及,我死地下不曠日國峻寘之于帳而不以為然及
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIV_40b_0.jpg,史臣吳士連曰小國之賴大國以其䏻安靖已,史臣吳士連曰小國之類大國以其能安靖以
Tale of Kieu 1872/page22b_11.jpg,賢而時君或以見踈宜其治之不古若也他如,賢而時君或以見踈宜其治之不古若也他如
Tale of Kieu 1871/page117_6.jpg,五月地震望月有食之六月以生日為憲,五月地震望月有食之六月以生日為靈
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_76b_3.jpg,即皇帝位詔曰天之立君所以為民君之奉天,即皇帝位詔曰天之立告所以為民君之奉天
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_VII_35a_0.jpg,宗之靈有以默将陰佑而致然也於戲一戎大,宗之露有以默相陰佑而𦤶然也於戲一戎大
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XIX_1b_1.jpg,古今粗亦明聖人之道以化斯民而卒未能信於,旨今䋥赤明聖人之道以化斯民而卒未能信於
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_50b_8.jpg,爲此亦異事不可以爲常而忽之今天下習尚,爲此亦異事不可以爲常而忽之今天下習尙
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_3b_8.jpg,征之未晚三上疏諫帝不從乃掛冠而去杜為人,征之未晚三上疏諫帝不從乃掛冠而去杜為人
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_32b_6.jpg,中路安撫使莫不為之保請而賢人才子耻𭁈,中路安撫使莫不為之保請而賢人才子耻典
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_13a_4.jpg,還宫不豫五月二十三日帝以女謁盛嬰重疾,還宫不豫五月二十三日帝以女謂盛要重疾
DVSKTT-1 Quyen thu/DVSKTT_thu_VII_17a_6.jpg,人入者罪如之禁朝官不得徃來王侯家在禁,人入者罪如之禁朝官不得徃來王侯家布奉
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_75b_7.jpg,顯諫匡其不逮思尽人臣職分之當為以媲美,顯諫匡其小遠思尽人臣職分之當爲以飛莫
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVIII_40a_0.jpg,曰占城元惡茶全之首使天下知之十一日駕至,曰占城元惡茶全之首使天下知之十一日駕至
Tale of Kieu 1871/page112_16.jpg,帝十二月初六日辝明帝回國前後凣一年餘,帝十二月初六日辝明帝回國前後凣一年餘
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIV_22a_4.jpg,云人村之於國家其所關者大矣粤自唐󰔄三代,云人村之於國家其所嗣者大矣身自󰱑󰔄三代
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_X_54b_6.jpg,帝乃昭宗同母弟以端慶三年七月二十六,帝乃昭宗同母第以端慶三年七月二十六
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XII_66b_2.jpg,其有關於世教者大矣乃命臣黎嵩為之總論,其有闕於世教者大矣乃命匿黎嵩爲之總諭
Tale of Kieu 1872/page14b_19.jpg,姓之飢寒多方經理而府縣州官者每年以時,姓之飢寒多方經理而府縣州官考每年以時
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVII_49a_2.jpg,廷設科取士之意上從之五月二十四日定,廷設科取士之意上從之五月二十四日定
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XI_60b_2.jpg,圖書契體式日其以本年正月初十日為水始後,圖書契體式日期以本年正月初十日爲始此後
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XIII_68b_7.jpg,月二十日誕生帝之生也天姿日表神彩,月二十日誕生帝之生也天資日表神黎
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_V_30a_10.jpg,節以全軍臣父子之義我知爾眾皆爲國之士,節以全君臣父子之義我知爾眾皆爲國之士
DVSKTT-2 Ngoai ky toan thu/DVSKTT_ngoai_V_21a_0.jpg,五人並爲宗姬以󰖶死國之勳也授黎巴牢,五人並爲宗姬以󰖶死國之勳也授黎已牢
Tale of Kieu 1872/page18a_11.jpg,保威私於宫人竊之一日裡其衣入朝上皇前奏,保威私念宫人竊之一百裡其哀入調上皇所奏
DVSKTT-5 Ban ky tuc bien/DVSKTT_ban_tuc_XVI_16a_7.jpg,換其角其民以為不祥憂之有善占者過,㨿其角其民以為不祥夏之有善占者過
DVSKTT-3 Ban ky toan thu/DVSKTT_ban_toan_III_12b_20.jpg,論曰㦃大之惡甚矣他日假手於人而不得,論曰惟俘之惡甚矣他日假手於人而不得
Tale of Kieu 1872/page40b_10.jpg,知相如名傳後世我之願也二生深以為德勤,如相如名傳後世弩之願也二生深以為德勤
DVSKTT-4 Ban ky thuc luc/DVSKTT_ban_thuc_XV_41a_3.jpg,公同看過眾官曰是然後断之盖以訟事或有,令司㸔給象官曰是然徔所噐盖以諭事或有
